,star
star,1.0
std_H_GLOB_STAR_RATING,0.5942552502306103
std_H_COMP_7_STAR_RATING,0.5684157991374017
std_H_COMP_1_STAR_RATING,0.536464681592623
std_H_COMP_6_STAR_RATING,0.5017990188185764
std_H_COMP_2_STAR_RATING,0.4749562092875241
std_H_COMP_5_STAR_RATING,0.4702298651762066
std_H_COMP_3_STAR_RATING,0.45977531456611526
std_H_INDI_STAR_RATING,0.4242050569825532
std_EDAC_30_HF,0.3738883450421312
std_MORT_30_PN,0.3695074007119726
std_EDAC_30_PN,0.3514345550524845
std_MORT_30_AMI,0.34850873810364924
std_MORT_30_CABG,0.3327210673007914
std_READM_30_HOSP_WIDE,0.32861347556816906
std_EDAC_30_AMI,0.3126176235476738
std_PSI_4_SURG_COMP,0.3032916359150597
std_MORT_30_STK,0.2994438047362411
std_PSI_90_SAFETY,0.2842856659925026
std_HAI_5,0.27679883265934047
std_READM_30_CABG,0.2735010424544594
std_READM_30_COPD,0.2639352188728821
std_IMM_3,0.2570382001445647
std_READM_30_HIP_KNEE,0.25357962761501085
std_COMP_HIP_KNEE,0.2365940138955023
std_MORT_30_COPD,0.23280800795175988
std_MORT_30_HF,0.22986102646054707
std_HAI_1,0.2255255348438584
std_HAI_4,0.16981915473943934
std_HAI_6,0.16978034932373356
std_SEP_1,0.1694950082105148
std_OP_22,0.16562089978858827
std_OP_32,0.16411617233270204
std_OP_29,0.15571914915662247
std_OP_36,0.15262113851127274
std_HAI_3,0.13291594309572308
std_HAI_2,0.12482694826253253
std_HCP_COVID_19,0.11396171895647263
std_OP_3B,0.11250470137648153
std_OP_35_ED,0.10547157446668966
std_OP_18B,0.10326289920950239
std_PC_01,0.0957896682006269
std_OP_10,0.08527922687573025
std_OP_23,0.0802790326160137
std_OP_35_ADM,0.06565320472652213
std_OP_8,0.061343396640219275
std_OP_13,0.009333391678038538
